item,condition,conjunct1,conjoiner,conjunct2,type,sentence,Ozge.is.ambiguous,Utku.is.ambiguous,"is.match(O,U)",isq,question,correct_answer,Group,,,,,,,,
1,a,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabıcı bir adamla tanıştı.,0,0,TRUE,0,,,A,,item,SUM of Ozge.is.ambiguous,,condition,SUM of Ozge.is.ambiguous,,
1,b,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorapçı ve ayakkabıcı bir adamla tanıştı.,0,0,TRUE,0,,,B,,,0,,,0,,
1,c,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabılı bir takım aldı.,1,1,TRUE,0,,,C,,1,4,,a,2,suspended.cI,30
1,d,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çoraplı ve ayakkabılı bir takım aldı.,0,0,TRUE,0,,,D,,2,5,,b,1,,31
1,e,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabısız bir yoga eğitimi aldı.,1,1,TRUE,0,,,E,,3,2,,c,20,suspended.lI,12
1,f,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorapsız ve ayakkabısız bir yoga eğitimi aldı.,0,0,TRUE,0,,,F,,4,3,,d,0,lI,32
1,g,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çorap ve ayakkabılık bir dolap aldı.,1,1,TRUE,0,,,G,,5,3,,e,18,suspended.sIz,14
1,h,çorap,ve,ayakkabı,exp,Emel geçen haftasonu çoraplık ve ayakkabılık bir dolap aldı.,1,1,TRUE,0,,,H,,6,1,,f,2,,30
2,a,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyeci bir usta getirdi.,1,1,TRUE,0,,,B,,7,4,,g,23,suspended.lIk,9
2,b,masa,ve,sandalye,exp,Ömer yeni evine masacı ve sandalyeci bir usta getirdi.,1,1,TRUE,0,,,C,,8,3,,gram,0,,
2,c,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyeli bir yemek odası kurdu.,1,1,TRUE,0,,,D,,9,0,,h,9,,23
2,d,masa,ve,sandalye,exp,Ömer yeni evine masalı ve sandalyeli bir yemek odası kurdu.,0,0,TRUE,0,,,E,,10,1,,ungram,0,,
2,e,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyesiz bir mobilya takımı aldı.,1,1,TRUE,0,,,F,,11,1,,Grand Total,75,,
2,f,masa,ve,sandalye,exp,Ömer yeni evine masasız ve sandalyesiz bir mobilya takımı aldı.,0,0,TRUE,0,,,G,,12,2,,,,,
2,g,masa,ve,sandalye,exp,Ömer yeni evine masa ve sandalyelik bir renk seçti.,1,1,TRUE,0,,,H,,13,1,,,,,
2,h,masa,ve,sandalye,exp,Ömer yeni evine masalık ve sandalyelik bir renk seçti.,0,0,TRUE,0,,,A,,14,2,,,,,
3,a,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkacı bir tuhafiyeye uğrayacakmış.,0,0,TRUE,0,,,C,,15,3,,,,,
3,b,atkı,ve,şapka,exp,Leyla eski çarşıda atkıcı ve şapkacı bir tuhafiyeye uğrayacakmış.,0,0,TRUE,0,,,D,,16,3,,,,,
3,c,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkalı bir ünlüyle karşılaşmış.,0,0,TRUE,0,,,E,,17,4,,,,,
3,d,atkı,ve,şapka,exp,Leyla eski çarşıda atkılı ve şapkalı bir ünlüyle karşılaşmış.,0,0,TRUE,0,,,F,,18,2,,,,,
3,e,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkasız bir çocuğa acımış.,0,0,TRUE,0,,,G,,19,0,,,,,
3,f,atkı,ve,şapka,exp,Leyla eski çarşıda atkısız ve şapkasız bir çocuğa acımış.,0,0,TRUE,0,,,H,,20,0,,,,,
3,g,atkı,ve,şapka,exp,Leyla eski çarşıda atkı ve şapkalık bir askı beğenmiş.,1,1,TRUE,0,,,A,,21,1,,,,,
3,h,atkı,ve,şapka,exp,Leyla eski çarşıda atkılık ve şapkalık bir askı beğenmiş.,1,1,TRUE,0,,,B,,22,2,,,,,
4,a,limon,ve,portakal,exp,Burak tatlı için limon ve portakalcı bir satıcıdan sipariş vermiş.,0,0,TRUE,0,,,D,,23,1,,,,,
4,b,limon,ve,portakal,exp,Burak tatlı için limoncu ve portakalcı bir satıcıdan sipariş vermiş.,0,0,TRUE,0,,,E,,24,3,,,,,
4,c,limon,ve,portakal,exp,Burak tatlı için limon ve portakallı bir tarif bulmuş.,1,1,TRUE,0,,,F,,25,2,,,,,
4,d,limon,ve,portakal,exp,Burak tatlı için limonlu ve portakallı bir tarif bulmuş.,0,0,TRUE,0,,,G,,26,2,,,,,
4,e,limon,ve,portakal,exp,Burak tatlı için limon ve portakalsız bir tarif bulmuş.,1,1,TRUE,0,,,H,,27,4,,,,,
4,f,limon,ve,portakal,exp,Burak tatlı için limonsuz ve portakalsız bir tarif bulmuş.,0,0,TRUE,0,,,A,,28,2,,,,,
4,g,limon,ve,portakal,exp,Burak tatlı için limon ve portakallık bir tabak hazırlamış.,1,1,TRUE,0,,,B,,29,3,,,,,
4,h,limon,ve,portakal,exp,Burak tatlı için limonluk ve portakallık bir tabak hazırlamış.,0,0,TRUE,0,,,C,,30,3,,,,,
5,a,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazocu bir dükkana uğradı.,0,0,TRUE,0,,,E,,31,4,,,,,
5,b,tablo,ve,vazo,exp,Ece yılbaşı için tablocu ve vazocu bir dükkana uğradı.,0,0,TRUE,0,,,F,,32,4,,,,,
5,c,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazolu bir masa aldı.,1,1,TRUE,0,,,G,,101,0,,,,,
5,d,tablo,ve,vazo,exp,Ece yılbaşı için tablolu ve vazolu bir masa aldı.,0,0,TRUE,0,,,H,,102,0,,,,,
5,e,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazosuz bir masa seçti.,1,1,TRUE,0,,,A,,103,0,,,,,
5,f,tablo,ve,vazo,exp,Ece yılbaşı için tablosuz ve vazosuz bir masa seçti.,0,0,TRUE,0,,,B,,104,0,,,,,
5,g,tablo,ve,vazo,exp,Ece yılbaşı için tablo ve vazoluk bir masa aldı.,1,1,TRUE,0,,,C,,105,0,,,,,
5,h,tablo,ve,vazo,exp,Ece yılbaşı için tabloluk ve vazoluk bir masa aldı.,0,0,TRUE,0,,,D,,106,0,,,,,
6,a,muz,ve,havuç,exp,Ali diyetteyken muz ve havuççu bir tezgahtara uğrardı.,0,0,TRUE,0,,,F,,107,0,,,,,
6,b,muz,ve,havuç,exp,Ali diyetteyken muzcu ve havuççu bir tezgahtara uğrardı.,0,0,TRUE,0,,,G,,108,0,,,,,
6,c,muz,ve,havuç,exp,Ali diyetteyken muz ve havuçlu bir kek yapardı.,0,0,TRUE,0,,,H,,109,0,,,,,
6,d,muz,ve,havuç,exp,Ali diyetteyken muzlu ve havuçlu bir kek yapardı.,0,0,TRUE,0,,,A,,110,0,,,,,
6,e,muz,ve,havuç,exp,Ali diyetteyken muz ve havuçsuz bir kek yapardı.,0,0,TRUE,0,,,B,,111,0,,,,,
6,f,muz,ve,havuç,exp,Ali diyetteyken muzsuz ve havuçsuz bir kek yapardı.,0,0,TRUE,0,,,C,,112,0,,,,,
6,g,muz,ve,havuç,exp,Ali diyetteyken muz ve havuçluk bir saklama kabı almıştı.,1,1,TRUE,0,,,D,,113,0,,,,,
6,h,muz,ve,havuç,exp,Ali diyetteyken muzluk ve havuçluk bir saklama kabı almıştı.,0,0,TRUE,0,,,E,,114,0,,,,,
7,a,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniye ve halıcı bir züccaciyeciye gidecekmiş.,0,0,TRUE,0,,,G,,115,0,,,,,
7,b,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniyeci ve halıcı bir züccaciyeciye gidecekmiş.,0,0,TRUE,0,,,H,,116,0,,,,,
7,c,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniye ve halılı bir paket seçmiş.,1,1,TRUE,0,,,A,,117,0,,,,,
7,d,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniyeli ve halılı bir paket seçmiş.,0,0,TRUE,0,,,B,,118,0,,,,,
7,e,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniye ve halısız bir paket seçmiş.,1,1,TRUE,0,,,C,,119,0,,,,,
7,f,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniyesiz ve halısız bir paket seçmiş.,0,0,TRUE,0,,,D,,120,0,,,,,
7,g,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniye ve halılık bir indirim bulmuş.,1,1,TRUE,0,,,E,,121,0,,,,,
7,h,battaniye,ve,halı,exp,Dilek çeyiz alşverişi için battaniyelik ve halılık bir indirim bulmuş.,1,1,TRUE,0,,,F,,122,0,,,,,
8,a,kapı,ve,pencere,exp,Selin tamir için kapı ve pencereci bir marangozla anlaşmış.,0,0,TRUE,0,,,H,,123,0,,,,,
8,b,kapı,ve,pencere,exp,Selin tamir için kapıcı ve pencereci bir marangozla anlaşmış.,0,0,TRUE,0,,,A,,124,0,,,,,
8,c,kapı,ve,pencere,exp,Selin tamir için kapı ve pencereli bir atölye tasarlamış.,1,1,TRUE,0,,,B,,201,0,,,,,
8,d,kapı,ve,pencere,exp,Selin tamir için kapılı ve pencereli bir atölye tasarlamış.,0,0,TRUE,0,,,C,,202,0,,,,,
8,e,kapı,ve,pencere,exp,Selin tamir için kapı ve penceresiz bir atölye tasarlamış.,1,1,TRUE,0,,,D,,203,0,,,,,
8,f,kapı,ve,pencere,exp,Selin tamir için kapısız ve penceresiz bir atölye tasarlamış.,0,0,TRUE,0,,,E,,204,0,,,,,
8,g,kapı,ve,pencere,exp,Selin tamir için kapı ve pencerelik bir desen seçmiş.,1,1,TRUE,0,,,F,,205,0,,,,,
8,h,kapı,ve,pencere,exp,Selin tamir için kapılık ve pencerelik bir desen seçmiş.,0,0,TRUE,0,,,G,,206,0,,,,,
9,a,anne,ve,baba,exp,Zeynep bu hafta anne ve babacı bir yeğeniyle ilgilendi.,0,0,TRUE,0,,,A,,207,0,,,,,
9,b,anne,ve,baba,exp,Zeynep bu hafta anneci ve babacı bir yeğeniyle ilgilendi.,0,0,TRUE,0,,,B,,208,0,,,,,
9,c,anne,ve,baba,exp,Zeynep bu hafta anne ve babalı bir toplantıya katıldı.,0,0,TRUE,0,,,C,,209,0,,,,,
9,d,anne,ve,baba,exp,Zeynep bu hafta anneli ve babalı bir toplantıya katıldı.,0,0,TRUE,0,,,D,,210,0,,,,,
9,e,anne,ve,baba,exp,Zeynep yıllar önce anne ve babasız bir çocukluk geçirdi.,0,0,TRUE,0,,,E,,211,0,,,,,
9,f,anne,ve,baba,exp,Zeynep yıllar önce annesiz ve babasız bir çocukluk geçirdi.,0,0,TRUE,0,,,F,,212,0,,,,,
9,g,anne,ve,baba,exp,Zeynep yıllar önce anne ve babalık bir görev üstlendi.,0,0,TRUE,0,,,G,,213,0,,,,,
9,h,anne,ve,baba,exp,Zeynep yıllar önce annelik ve babalık bir görev üstlendi.,0,0,TRUE,0,,,H,,214,0,,,,,
10,a,kedi,ve,köpek,exp,Ali her hafta kedi ve köpekçi bir komşusuyla sohbet eder.,0,0,TRUE,0,,,B,,215,0,,,,,
10,b,kedi,ve,köpek,exp,Ali her hafta kedici ve köpekçi bir komşusuyla sohbet eder.,0,0,TRUE,0,,,C,,216,0,,,,,
10,c,kedi,ve,köpek,exp,Ali geçen ay kedi ve köpekli bir veteriner kliniği açtı.,0,0,TRUE,0,,,D,,217,0,,,,,
10,d,kedi,ve,köpek,exp,Ali geçen ay kedili ve köpekli bir veteriner kliniği açtı.,0,0,TRUE,0,,,E,,218,0,,,,,
10,e,kedi,ve,köpek,exp,Ali uzun zamandır kedi ve köpeksiz bir apartmanda yaşıyor.,0,0,TRUE,0,,,F,,219,0,,,,,
10,f,kedi,ve,köpek,exp,Ali uzun zamandır kedisiz ve köpeksiz bir apartmanda yaşıyor.,1,1,TRUE,0,,,G,,220,0,,,,,
10,g,kedi,ve,köpek,exp,Ali yeni firmada kedi ve köpeklik bir tasarım yaptı.,0,0,TRUE,0,,,H,,221,0,,,,,
10,h,kedi,ve,köpek,exp,Ali yeni firmada kedilik ve köpeklik bir tasarım yaptı.,0,0,TRUE,0,,,A,,222,0,,,,,
11,a,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilim ve teknolojici bir araştırmaya katıldı.,0,0,TRUE,0,,,C,,223,0,,,,,
11,b,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilimci ve teknolojici bir araştırmaya katıldı.,0,0,TRUE,0,,,D,,224,0,,,,,
11,c,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilim ve teknolojili bir eğitim sistemi savundu.,1,1,TRUE,0,,,E,,225,0,,,,,
11,d,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilimli ve teknolojili bir eğitim sistemi savundu.,0,0,TRUE,0,,,F,,226,0,,,,,
11,e,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilim ve teknolojisiz bir düşünceyi eleştirdi.,0,0,TRUE,0,,,G,,227,0,,,,,
11,f,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilimsiz ve teknolojisiz bir düşünceyi eleştirdi.,0,0,TRUE,0,,,H,,228,0,,,,,
11,g,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilim ve teknolojilik bir dergi çıkardı.,0,0,TRUE,0,,,A,,229,0,,,,,
11,h,bilim,ve,teknoloji,exp,Ahmet yabancı bir üniversitede bilimlik ve teknolojilik bir dergi çıkardı.,0,0,TRUE,0,,,B,,230,0,,,,,
12,a,ev,ve,bahçe,exp,Merve yeni villası için ev ve bahçeci bir peyzaj tasarımcısıyla anlaştı.,0,0,TRUE,0,,,D,,231,0,,,,,
12,b,ev,ve,bahçe,exp,Merve yeni villası için evci ve bahçeci bir peyzaj tasarımcısıyla anlaştı.,0,0,TRUE,0,,,E,,232,0,,,,,
12,c,ev,ve,bahçe,exp,Merve yaz tatilinde ev ve bahçeli bir tatil köyünü ziyaret etti.,0,0,TRUE,0,,,F,,233,0,,,,,
12,d,ev,ve,bahçe,exp,Merve yaz tatilinde evli ve bahçeli bir tatil köyünü ziyaret etti.,0,0,TRUE,0,,,G,,234,0,,,,,
12,e,ev,ve,bahçe,exp,Merve yeni hayatında ev ve bahçesiz bir şehir hayatı yaşıyor.,0,0,TRUE,0,,,H,,235,0,,,,,
12,f,ev,ve,bahçe,exp,Merve yeni hayatında evsiz ve bahçesiz bir şehir hayatı yaşıyor.,1,1,TRUE,0,,,A,,236,0,,,,,
12,g,ev,ve,bahçe,exp,Merve aile mirasıyla ev ve bahçelik bir arsa satın aldı.,1,1,TRUE,0,,,B,,237,0,,,,,
12,h,ev,ve,bahçe,exp,Merve aile mirasıyla evlik ve bahçelik bir arsa satın aldı.,0,0,TRUE,0,,,C,,238,0,,,,,
13,a,şehir,ve,köy,exp,Emin geçen tatilde şehir ve köycü bir yazarın kitabını okudu.,0,0,TRUE,0,,,E,,239,0,,,,,
13,b,şehir,ve,köy,exp,Emin geçen tatilde şehirci ve köycü bir yazarın kitabını okudu.,0,0,TRUE,0,,,F,,240,0,,,,,
13,c,şehir,ve,köy,exp,Emin geçen tatilde şehir ve köylü bir topluluk projesine katıldı.,0,0,TRUE,0,,,G,,Grand Total,75,,,,,
13,d,şehir,ve,köy,exp,Emin geçen tatilde şehirli ve köylü bir topluluk projesine katıldı.,0,0,TRUE,0,,,H,,,,,,,,
13,e,şehir,ve,köy,exp,Emin geçen tatilde şehir ve köysüz bir gezi yaptı.,0,0,TRUE,0,,,A,,,,,,,,
13,f,şehir,ve,köy,exp,Emin geçen tatilde şehirsiz ve köysüz bir gezi yaptı.,0,0,TRUE,0,,,B,,,,,,,,
13,g,şehir,ve,köy,exp,Emin geçen tatilde şehir ve köylük bir bölgeyi gezdi.,1,1,TRUE,0,,,C,,,,,,,,
13,h,şehir,ve,köy,exp,Emin geçen tatilde şehirlik ve köylük bir bölgeyi gezdi.,0,0,TRUE,0,,,D,,,,,,,,
14,a,fare,ve,aslan,exp,Elif gençlik yıllarında fare ve aslancı bir hikaye yazdı.,0,0,TRUE,0,,,F,,,,,,,,
14,b,fare,ve,aslan,exp,Elif gençlik yıllarında fareci ve aslancı bir hikaye yazdı.,0,0,TRUE,0,,,G,,,,,,,,
14,c,fare,ve,aslan,exp,Elif küçük bir çocukken fare ve aslanlı bir masal dinledi.,1,1,TRUE,0,,,H,,,,,,,,
14,d,fare,ve,aslan,exp,Elif küçük bir çocukken fareli ve aslanlı bir masal dinledi.,0,0,TRUE,0,,,A,,,,,,,,
14,e,fare,ve,aslan,exp,Elif gençlik yıllarında fare ve aslansız bir oyun sahneledi.,0,0,TRUE,0,,,B,,,,,,,,
14,f,fare,ve,aslan,exp,Elif gençlik yıllarında faresiz ve aslansız bir oyun sahneledi.,0,0,TRUE,0,,,C,,,,,,,,
14,g,fare,ve,aslan,exp,Elif takım oyununda fare ve aslanlık bir sembol seçti.,1,1,TRUE,0,,,D,,,,,,,,
14,h,fare,ve,aslan,exp,Elif takım oyununda farelik ve aslanlık bir sembol seçti.,0,0,TRUE,0,,,E,,,,,,,,
15,a,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahi ve bardakçı bir antikacıdan alışveriş yaptı.,0,0,TRUE,0,,,G,,,,,,,,
15,b,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahici ve bardakçı bir antikacıdan alışveriş yaptı.,0,0,TRUE,0,,,H,,,,,,,,
15,c,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahi ve bardaklı bir konsept hazırladı.,1,1,TRUE,0,,,A,,,,,,,,
15,d,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahili ve bardaklı bir konsept hazırladı.,0,0,TRUE,0,,,B,,,,,,,,
15,e,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahi ve bardaksız bir sofra kurdu.,0,0,TRUE,0,,,C,,,,,,,,
15,f,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahisiz ve bardaksız bir sofra kurdu.,0,0,TRUE,0,,,D,,,,,,,,
15,g,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahi ve bardaklık bir raf yaptırdı.,1,1,TRUE,0,,,E,,,,,,,,
15,h,sürahi,ve,bardak,exp,Deniz misafir beklerken sürahilik ve bardaklık bir raf yaptırdı.,1,1,TRUE,0,,,F,,,,,,,,
16,a,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftlik ve fabrikacı bir yatırımcıyla görüştü.,0,0,TRUE,0,,,H,,,,,,,,
16,b,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftlikçi ve fabrikacı bir yatırımcıyla görüştü.,0,0,TRUE,0,,,A,,,,,,,,
16,c,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftlik ve fabrikalı bir işletme kurdu.,1,1,TRUE,0,,,B,,,,,,,,
16,d,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftlikli ve fabrikalı bir işletme kurdu.,0,0,TRUE,0,,,C,,,,,,,,
16,e,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftlik ve fabrikasız bir iş modeli önerdi.,1,1,TRUE,0,,,D,,,,,,,,
16,f,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftliksiz ve fabrikasız bir iş modeli önerdi.,0,0,TRUE,0,,,E,,,,,,,,
16,g,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftlik ve fabrikalık bir proje sundu.,1,1,TRUE,0,,,F,,,,,,,,
16,h,çiftlik,ve,fabrika,exp,Okan üniversite yıllarında çiftliklik ve fabrikalık bir proje sundu.,0,0,TRUE,0,,,G,,,,,,,,
17,a,tepe,ve,nehir,exp,Eylül kamp yaparken tepe ve nehirci bir rehberle doğa yürüyüşüne çıktı.,0,0,TRUE,0,,,A,,,,,,,,
17,b,tepe,ve,nehir,exp,Eylül kamp yaparken tepeci ve nehirci bir rehberle doğa yürüyüşüne çıktı.,0,0,TRUE,0,,,B,,,,,,,,
17,c,tepe,ve,nehir,exp,Eylül kamp yaparken tepe ve nehirli bir alan seçti.,1,1,TRUE,0,,,C,,,,,,,,
17,d,tepe,ve,nehir,exp,Eylül kamp yaparken tepeli ve nehirli bir alan seçti.,0,0,TRUE,0,,,D,,,,,,,,
17,e,tepe,ve,nehir,exp,Eylül kamp yaparken tepe ve nehirsiz bir manzara gördü.,1,1,TRUE,0,,,E,,,,,,,,
17,f,tepe,ve,nehir,exp,Eylül kamp yaparken tepesiz ve nehirsiz bir manzara gördü.,0,0,TRUE,0,,,F,,,,,,,,
17,g,tepe,ve,nehir,exp,Eylül kamp yaparken tepe ve nehirlik bir arazi satın aldı.,1,1,TRUE,0,,,G,,,,,,,,
17,h,tepe,ve,nehir,exp,Eylül kamp yaparken tepelik ve nehirlik bir arazi satın aldı.,1,1,TRUE,0,,,H,,,,,,,,
18,a,okul,ve,cami,exp,Nevzat genç bir stajyerken okul ve camici bir mimarın eserlerini inceledi.,1,1,TRUE,0,,,B,,,,,,,,
18,b,okul,ve,cami,exp,Nevzat genç bir stajyerken okulcu ve camici bir mimarın eserlerini inceledi.,0,0,TRUE,0,,,C,,,,,,,,
18,c,okul,ve,cami,exp,Nevzat genç bir stajyerken okul ve camili bir mahallede oturdu.,0,0,TRUE,0,,,D,,,,,,,,
18,d,okul,ve,cami,exp,Nevzat genç bir stajyerken okullu ve camili bir mahallede oturdu.,0,0,TRUE,0,,,E,,,,,,,,
18,e,okul,ve,cami,exp,Nevzat genç bir stajyerken okul ve camisiz bir projeye destek verdi.,0,0,TRUE,0,,,F,,,,,,,,
18,f,okul,ve,cami,exp,Nevzat genç bir stajyerken okulsuz ve camisiz bir projeye destek verdi.,0,0,TRUE,0,,,G,,,,,,,,
18,g,okul,ve,cami,exp,Nevzat genç bir stajyerken okul ve camilik bir alanın korunmasını önerdi.,1,1,TRUE,0,,,H,,,,,,,,
18,h,okul,ve,cami,exp,Nevzat genç bir stajyerken okulluk ve camilik bir alanın korunmasını önerdi.,0,0,TRUE,0,,,A,,,,,,,,
19,a,gece,ve,gündüz,exp,Zühre son yolculukta gece ve gündüzcü bir rehberle tanıştı.,0,0,TRUE,0,,,C,,,,,,,,
19,b,gece,ve,gündüz,exp,Zühre son yolculukta gececi ve gündüzcü bir rehberle tanıştı.,0,0,TRUE,0,,,D,,,,,,,,
19,c,gece,ve,gündüz,exp,Zühre son yolculukta gece ve gündüzlü bir seyahat planı hazırladı.,0,0,TRUE,0,,,E,,,,,,,,
19,d,gece,ve,gündüz,exp,Zühre son yolculukta geceli ve gündüzlü bir seyahat planı hazırladı.,0,0,TRUE,0,,,F,,,,,,,,
19,e,gece,ve,gündüz,exp,Zühre son yolculukta gece ve gündüzsüz bir tren yolculuğu önerdi.,0,0,TRUE,0,,,G,,,,,,,,
19,f,gece,ve,gündüz,exp,Zühre son yolculukta gecesiz ve gündüzsüz bir tren yolculuğu önerdi.,0,0,TRUE,0,,,H,,,,,,,,
19,g,gece,ve,gündüz,exp,Zühre son yolculukta gece ve gündüzlük bir program belirledi.,0,0,TRUE,0,,,A,,,,,,,,
19,h,gece,ve,gündüz,exp,Zühre son yolculukta gecelik ve gündüzlük bir program belirledi.,0,0,TRUE,0,,,B,,,,,,,,
20,a,büyükanne,ve,dede,exp,Fehime düğünden önce büyükanne ve dedeci bir gelenek hakkında yazı okudu.,0,0,TRUE,0,,,D,,,,,,,,
20,b,büyükanne,ve,dede,exp,Fehime düğünden önce büyükanneci ve dedeci bir gelenek hakkında yazı okudu.,0,0,TRUE,0,,,E,,,,,,,,
20,c,büyükanne,ve,dede,exp,Fehime düğünden önce büyükanne ve dedeli bir aile hayatını irdeledi.,0,0,TRUE,0,,,F,,,,,,,,
20,d,büyükanne,ve,dede,exp,Fehime düğünden önce büyükanneli ve dedeli bir aile hayatını irdeledi.,0,0,TRUE,0,,,G,,,,,,,,
20,e,büyükanne,ve,dede,exp,Fehime düğünden önce büyükanne ve dedesiz bir aile hayatını irdeledi.,0,0,TRUE,0,,,H,,,,,,,,
