Group,Item,Condition,Item_type,ConjunctType,ConjunctOrder,Agreement,Sentence,Verb
I,33,a,experimental,proper,preverbal,FCA,Ben ve Gülşah yıllar boyunca çalıştım.,çalış-
J,33,b,experimental,proper,preverbal,LCA,Ben ve Gülşah yıllar boyunca çalıştı.,çalış-
K,33,c,experimental,proper,preverbal,RA,Ben ve Gülşah yıllar boyunca çalıştık.,çalış-
L,33,d,experimental,pronoun,preverbal,FCA,Ben ve sen yıllar boyunca çalıştım.,çalış-
A,33,e,experimental,pronoun,preverbal,LCA,Ben ve sen yıllar boyunca çalıştın.,çalış-
B,33,f,experimental,pronoun,preverbal,RA,Ben ve sen yıllar boyunca çalıştık.,çalış-
C,33,g,experimental,proper,postverbal,FCA,Çalıştı yıllar boyunca Gülşah ve ben.,çalış-
D,33,h,experimental,proper,postverbal,LCA,Çalıştım yıllar boyunca Gülşah ve ben.,çalış-
E,33,i,experimental,proper,postverbal,RA,Çalıştık yıllar boyunca Gülşah ve ben.,çalış-
F,33,j,experimental,pronoun,postverbal,FCA,Çalıştın yıllar boyunca sen ve ben.,çalış-
G,33,k,experimental,pronoun,postverbal,LCA,Çalıştım yıllar boyunca sen ve ben.,çalış-
H,33,l,experimental,pronoun,postverbal,RA,Çalıştık yıllar boyunca sen ve ben.,çalış-
J,34,a,experimental,proper,preverbal,FCA,Ben ve Ayşe kış boyunca üşüdüm.,üşü-
K,34,b,experimental,proper,preverbal,LCA,Ben ve Ayşe kış boyunca üşüdü.,üşü-
L,34,c,experimental,proper,preverbal,RA,Ben ve Ayşe kış boyunca üşüdük.,üşü-
A,34,d,experimental,pronoun,preverbal,FCA,Ben ve sen kış boyunca üşüdüm.,üşü-
B,34,e,experimental,pronoun,preverbal,LCA,Ben ve sen kış boyunca üşüdün.,üşü-
C,34,f,experimental,pronoun,preverbal,RA,Ben ve sen kış boyunca üşüdük.,üşü-
D,34,g,experimental,proper,postverbal,FCA,Üşüdü kış boyunca Ayşe ve ben.,üşü-
E,34,h,experimental,proper,postverbal,LCA,Üşüdüm kış boyunca Ayşe ve ben.,üşü-
F,34,i,experimental,proper,postverbal,RA,Üşüdük kış boyunca Ayşe ve ben.,üşü-
G,34,j,experimental,pronoun,postverbal,FCA,Üşüdün kış boyunca sen ve ben.,üşü-
H,34,k,experimental,pronoun,postverbal,LCA,Üşüdüm kış boyunca sen ve ben.,üşü-
I,34,l,experimental,pronoun,postverbal,RA,Üşüdük kış boyunca sen ve ben.,üşü-
K,35,a,experimental,proper,preverbal,FCA,Ben ve Deniz geçen hafta gezmiştim.,gez-
L,35,b,experimental,proper,preverbal,LCA,Ben ve Deniz geçen hafta gezmişti.,gez-
A,35,c,experimental,proper,preverbal,RA,Ben ve Deniz geçen hafta gezmiştik.,gez-
B,35,d,experimental,pronoun,preverbal,FCA,Ben ve sen geçen hafta gezmiştim.,gez-
C,35,e,experimental,pronoun,preverbal,LCA,Ben ve sen geçen hafta gezmiştin.,gez-
D,35,f,experimental,pronoun,preverbal,RA,Ben ve sen geçen hafta gezmiştik.,gez-
E,35,g,experimental,proper,postverbal,FCA,Gezmişti geçen hafta Deniz ve ben.,gez-
F,35,h,experimental,proper,postverbal,LCA,Gezmiştim geçen hafta Deniz ve ben.,gez-
G,35,i,experimental,proper,postverbal,RA,Gezmiştik geçen hafta Deniz ve ben.,gez-
H,35,j,experimental,pronoun,postverbal,FCA,Gezmiştin geçen hafta sen ve ben.,gez-
I,35,k,experimental,pronoun,postverbal,LCA,Gezmiştim geçen hafta sen ve ben.,gez-
J,35,l,experimental,pronoun,postverbal,RA,Gezmiştik geçen hafta sen ve ben.,gez-
L,36,a,experimental,proper,preverbal,FCA,Ben ve Mehmet pazara kadar dinlenmiştim.,dinlen-
A,36,b,experimental,proper,preverbal,LCA,Ben ve Mehmet pazara kadar dinlenmişti.,dinlen-
B,36,c,experimental,proper,preverbal,RA,Ben ve Mehmet pazara kadar dinlenmiştik.,dinlen-
C,36,d,experimental,pronoun,preverbal,FCA,Ben ve sen pazara kadar dinlenmiştim.,dinlen-
D,36,e,experimental,pronoun,preverbal,LCA,Ben ve sen pazara kadar dinlenmiştin.,dinlen-
E,36,f,experimental,pronoun,preverbal,RA,Ben ve sen pazara kadar dinlenmiştik.,dinlen-
F,36,g,experimental,proper,postverbal,FCA,Dinlenmişti pazara kadar Mehmet ve ben.,dinlen-
G,36,h,experimental,proper,postverbal,LCA,Dinlenmiştim pazara kadar Mehmet ve ben.,dinlen-
H,36,i,experimental,proper,postverbal,RA,Dinlenmiştik pazara kadar Mehmet ve ben.,dinlen-
I,36,j,experimental,pronoun,postverbal,FCA,Dinlenmiştin pazara kadar sen ve ben.,dinlen-
J,36,k,experimental,pronoun,postverbal,LCA,Dinlenmiştim pazara kadar sen ve ben.,dinlen-
K,36,l,experimental,pronoun,postverbal,RA,Dinlenmiştik pazara kadar sen ve ben.,dinlen-
A,37,a,experimental,proper,preverbal,FCA,Ben ve Şenay aksiliklerden sonra telaşlanmıştım.,telaşlan-
B,37,b,experimental,proper,preverbal,LCA,Ben ve Şenay aksiliklerden sonra telaşlanmıştı.,telaşlan-
C,37,c,experimental,proper,preverbal,RA,Ben ve Şenay aksiliklerden sonra telaşlanmıştık.,telaşlan-
D,37,d,experimental,pronoun,preverbal,FCA,Ben ve sen aksiliklerden sonra telaşlanmıştım.,telaşlan-
E,37,e,experimental,pronoun,preverbal,LCA,Ben ve sen aksiliklerden sonra telaşlanmıştın.,telaşlan-
F,37,f,experimental,pronoun,preverbal,RA,Ben ve sen aksiliklerden sonra telaşlanmıştık.,telaşlan-
G,37,g,experimental,proper,postverbal,FCA,Telaşlandı aksiliklerden dolayı Şenay ve ben.,telaşlan-
H,37,h,experimental,proper,postverbal,LCA,Telaşlandım aksiliklerden dolayı Şenay ve ben.,telaşlan-
I,37,i,experimental,proper,postverbal,RA,Telaşlandık aksiliklerden dolayı Şenay ve ben.,telaşlan-
J,37,j,experimental,pronoun,postverbal,FCA,Telaşlanmıştın aksiliklerden sonra sen ve ben.,telaşlan-
K,37,k,experimental,pronoun,postverbal,LCA,Telaşlanmıştım aksiliklerden sonra sen ve ben.,telaşlan-
L,37,l,experimental,pronoun,postverbal,RA,Telaşlanmıştık aksiliklerden sonra sen ve ben.,telaşlan-
B,38,a,experimental,proper,preverbal,FCA,Ben ve Pınar olaylardan ötürü bunaldım.,bunal-
C,38,b,experimental,proper,preverbal,LCA,Ben ve Pınar olaylardan ötürü bunaldı.,bunal-
D,38,c,experimental,proper,preverbal,RA,Ben ve Pınar olaylardan ötürü bunaldık.,bunal-
E,38,d,experimental,pronoun,preverbal,FCA,Ben ve sen olaylardan ötürü bunaldım.,bunal-
F,38,e,experimental,pronoun,preverbal,LCA,Ben ve sen olaylardan ötürü bunaldın.,bunal-
G,38,f,experimental,pronoun,preverbal,RA,Ben ve sen olaylardan ötürü bunaldık.,bunal-
H,38,g,experimental,proper,postverbal,FCA,Bunaldı olaylardan ötürü Pınar ve ben.,bunal-
I,38,h,experimental,proper,postverbal,LCA,Bunaldım olaylardan ötürü Pınar ve ben.,bunal-
J,38,i,experimental,proper,postverbal,RA,Bunaldık olaylardan ötürü Pınar ve ben.,bunal-
K,38,j,experimental,pronoun,postverbal,FCA,Bunaldın olaylardan ötürü sen ve ben.,bunal-
L,38,k,experimental,pronoun,postverbal,LCA,Bunaldım olaylardan ötürü sen ve ben.,bunal-
A,38,l,experimental,pronoun,postverbal,RA,Bunaldık olaylardan ötürü sen ve ben.,bunal-
C,39,a,experimental,proper,preverbal,FCA,Ben ve Semih parti için hazırlandım.,hazırlan-
D,39,b,experimental,proper,preverbal,LCA,Ben ve Semih parti için hazırlandı.,hazırlan-
E,39,c,experimental,proper,preverbal,RA,Ben ve Semih parti için hazırlandık.,hazırlan-
F,39,d,experimental,pronoun,preverbal,FCA,Ben ve sen parti için hazırlandım.,hazırlan-
G,39,e,experimental,pronoun,preverbal,LCA,Ben ve sen parti için hazırlandın.,hazırlan-
H,39,f,experimental,pronoun,preverbal,RA,Ben ve sen parti için hazırlandık.,hazırlan-
I,39,g,experimental,proper,postverbal,FCA,Hazırlandı parti için Semih ve ben.,hazırlan-
J,39,h,experimental,proper,postverbal,LCA,Hazırlandım parti için Semih ve ben.,hazırlan-
K,39,i,experimental,proper,postverbal,RA,Hazırlandık parti için Semih ve ben.,hazırlan-
L,39,j,experimental,pronoun,postverbal,FCA,Hazırlandın parti için sen ve ben.,hazırlan-
A,39,k,experimental,pronoun,postverbal,LCA,Hazırlandım parti için sen ve ben.,hazırlan-
B,39,l,experimental,pronoun,postverbal,RA,Hazırlandık parti için sen ve ben.,hazırlan-
D,40,a,experimental,proper,preverbal,FCA,Ben ve Ece kaza haberiyle sarsıldım.,sarsıl-
E,40,b,experimental,proper,preverbal,LCA,Ben ve Ece kaza haberiyle sarsıldı.,sarsıl-
F,40,c,experimental,proper,preverbal,RA,Ben ve Ece kaza haberiyle sarsıldık.,sarsıl-
G,40,d,experimental,pronoun,preverbal,FCA,Ben ve sen kaza haberiyle sarsıldım.,sarsıl-
H,40,e,experimental,pronoun,preverbal,LCA,Ben ve sen kaza haberiyle sarsıldın.,sarsıl-
I,40,f,experimental,pronoun,preverbal,RA,Ben ve sen kaza haberiyle sarsıldık.,sarsıl-
J,40,g,experimental,proper,postverbal,FCA,Sarsıldı kaza haberiyle Ece ve ben.,sarsıl-
K,40,h,experimental,proper,postverbal,LCA,Sarsıldım kaza haberiyle Ece ve ben.,sarsıl-
L,40,i,experimental,proper,postverbal,RA,Sarsıldık kaza haberiyle Ece ve ben.,sarsıl-
A,40,j,experimental,pronoun,postverbal,FCA,Sarsıldın kaza haberiyle sen ve ben.,sarsıl-
B,40,k,experimental,pronoun,postverbal,LCA,Sarsıldım kaza haberiyle sen ve ben.,sarsıl-
C,40,l,experimental,pronoun,postverbal,RA,Sarsıldık kaza haberiyle sen ve ben.,sarsıl-
E,41,a,experimental,proper,preverbal,FCA,Ben ve Sedef tartışmadan sonra gerildim.,geril-
F,41,b,experimental,proper,preverbal,LCA,Ben ve Sedef tartışmadan sonra gerildi.,geril-
G,41,c,experimental,proper,preverbal,RA,Ben ve Sedef tartışmadan sonra gerildik.,geril-
H,41,d,experimental,pronoun,preverbal,FCA,Ben ve sen tartışmadan sonra gerildim.,geril-
I,41,e,experimental,pronoun,preverbal,LCA,Ben ve sen tartışmadan sonra gerildin.,geril-
J,41,f,experimental,pronoun,preverbal,RA,Ben ve sen tartışmadan sonra gerildik.,geril-
K,41,g,experimental,proper,postverbal,FCA,Gerildi tartışmadan sonra Sedef ve ben.,geril-
L,41,h,experimental,proper,postverbal,LCA,Gerildim tartışmadan sonra Sedef ve ben.,geril-
A,41,i,experimental,proper,postverbal,RA,Gerildik tartışmadan sonra Sedef ve ben.,geril-
B,41,j,experimental,pronoun,postverbal,FCA,Gerildin tartışmadan sonra sen ve ben.,geril-
C,41,k,experimental,pronoun,postverbal,LCA,Gerildim tartışmadan sonra sen ve ben.,geril-
D,41,l,experimental,pronoun,postverbal,RA,Gerildik tartışmadan sonra sen ve ben.,geril-
F,42,a,experimental,proper,preverbal,FCA,Ben ve Turgut problemler yüzünden ağlamıştım.,ağla-
G,42,b,experimental,proper,preverbal,LCA,Ben ve Turgut problemler yüzünden ağlamıştı.,ağla-
H,42,c,experimental,proper,preverbal,RA,Ben ve Turgut problemler yüzünden ağlamıştık.,ağla-
I,42,d,experimental,pronoun,preverbal,FCA,Ben ve sen problemler yüzünden ağlamıştım.,ağla-
J,42,e,experimental,pronoun,preverbal,LCA,Ben ve sen problemler yüzünden ağlamıştın.,ağla-
K,42,f,experimental,pronoun,preverbal,RA,Ben ve sen problemler yüzünden ağlamıştık.,ağla-
L,42,g,experimental,proper,postverbal,FCA,Ağlamıştı problemler yüzünden Turgut ve ben.,ağla-
A,42,h,experimental,proper,postverbal,LCA,Ağlamıştım problemler yüzünden Turgut ve ben.,ağla-
B,42,i,experimental,proper,postverbal,RA,Ağlamıştık problemler yüzünden Turgut ve ben.,ağla-
C,42,j,experimental,pronoun,postverbal,FCA,Ağlamıştın problemler yüzünden sen ve ben.,ağla-
D,42,k,experimental,pronoun,postverbal,LCA,Ağlamıştım problemler yüzünden sen ve ben.,ağla-
E,42,l,experimental,pronoun,postverbal,RA,Ağlamıştık problemler yüzünden sen ve ben.,ağla-
G,43,a,experimental,proper,preverbal,FCA,Ben ve Beste bütün yaz gezdim.,gez-
H,43,b,experimental,proper,preverbal,LCA,Ben ve Beste bütün yaz gezdi.,gez-
I,43,c,experimental,proper,preverbal,RA,Ben ve Beste bütün yaz gezdik.,gez-
J,43,d,experimental,pronoun,preverbal,FCA,Ben ve sen bütün yaz gezdim.,gez-
K,43,e,experimental,pronoun,preverbal,LCA,Ben ve sen bütün yaz gezdin.,gez-
L,43,f,experimental,pronoun,preverbal,RA,Ben ve sen bütün yaz gezdik.,gez-
A,43,g,experimental,proper,postverbal,FCA,Gezdi bütün yaz Beste ve ben.,gez-
B,43,h,experimental,proper,postverbal,LCA,Gezdim bütün yaz Beste ve ben.,gez-
C,43,i,experimental,proper,postverbal,RA,Gezdik bütün yaz Beste ve ben.,gez-
D,43,j,experimental,pronoun,postverbal,FCA,Gezdin bütün yaz sen ve ben.,gez-
E,43,k,experimental,pronoun,postverbal,LCA,Gezdim bütün yaz sen ve ben.,gez-
F,43,l,experimental,pronoun,postverbal,RA,Gezdik bütün yaz sen ve ben.,gez-
H,44,a,experimental,proper,preverbal,FCA,Ben ve Metin felaket derecede hastalandım.,hastalan-
I,44,b,experimental,proper,preverbal,LCA,Ben ve Metin felaket derecede hastalandı.,hastalan-
J,44,c,experimental,proper,preverbal,RA,Ben ve Metin felaket derecede hastalandık.,hastalan-
K,44,d,experimental,pronoun,preverbal,FCA,Ben ve sen felaket derecede hastalandım.,hastalan-
L,44,e,experimental,pronoun,preverbal,LCA,Ben ve sen felaket derecede hastalandın.,hastalan-
A,44,f,experimental,pronoun,preverbal,RA,Ben ve sen felaket derecede hastalandık.,hastalan-
B,44,g,experimental,proper,postverbal,FCA,Hastalandı felaket derecede Metin ve ben.,hastalan-
C,44,h,experimental,proper,postverbal,LCA,Hastalandım felaket derecede Metin ve ben.,hastalan-
D,44,i,experimental,proper,postverbal,RA,Hastalandık felaket derecede Metin ve ben.,hastalan-
E,44,j,experimental,pronoun,postverbal,FCA,Hastalandın felaket derecede sen ve ben.,hastalan-
F,44,k,experimental,pronoun,postverbal,LCA,Hastalandım felaket derecede sen ve ben.,hastalan-
G,44,l,experimental,pronoun,postverbal,RA,Hastalandık felaket derecede sen ve ben.,hastalan-
I,45,a,experimental,proper,preverbal,FCA,Ben ve İbrahim bu haberlere sevindim.,sevin-
J,45,b,experimental,proper,preverbal,LCA,Ben ve İbrahim bu haberlere sevindi.,sevin-
K,45,c,experimental,proper,preverbal,RA,Ben ve İbrahim bu haberlere sevindik.,sevin-
L,45,d,experimental,pronoun,preverbal,FCA,Ben ve sen bu haberlere sevindim.,sevin-
A,45,e,experimental,pronoun,preverbal,LCA,Ben ve sen bu haberlere sevindin.,sevin-
B,45,f,experimental,pronoun,preverbal,RA,Ben ve sen bu haberlere sevindik.,sevin-
C,45,g,experimental,proper,postverbal,FCA,Sevindi bu haberlere İbrahim ve ben.,sevin-
D,45,h,experimental,proper,postverbal,LCA,Sevindim bu haberlere İbrahim ve ben.,sevin-
E,45,i,experimental,proper,postverbal,RA,Sevindik bu haberlere İbrahim ve ben.,sevin-
F,45,j,experimental,pronoun,postverbal,FCA,Sevindin bu haberlere sen ve ben.,sevin-
G,45,k,experimental,pronoun,postverbal,LCA,Sevindim bu haberlere sen ve ben.,sevin-
H,45,l,experimental,pronoun,postverbal,RA,Sevindik bu haberlere sen ve ben.,sevin-
J,46,a,experimental,proper,preverbal,FCA,Ben ve Selin toplantı için hazırlandım.,hazırlan-
K,46,b,experimental,proper,preverbal,LCA,Ben ve Selin toplantı için hazırlandı.,hazırlan-
L,46,c,experimental,proper,preverbal,RA,Ben ve Selin toplantı için hazırlandık.,hazırlan-
A,46,d,experimental,pronoun,preverbal,FCA,Ben ve sen toplantı için hazırlandım.,hazırlan-
B,46,e,experimental,pronoun,preverbal,LCA,Ben ve sen toplantı için hazırlandın.,hazırlan-
C,46,f,experimental,pronoun,preverbal,RA,Ben ve sen toplantı için hazırlandık.,hazırlan-
D,46,g,experimental,proper,postverbal,FCA,Hazırlandı toplantı için Selin ve ben.,hazırlan-
E,46,h,experimental,proper,postverbal,LCA,Hazırlandım toplantı için Selin ve ben.,hazırlan-
F,46,i,experimental,proper,postverbal,RA,Hazırlandık toplantı için Selin ve ben.,hazırlan-
G,46,j,experimental,pronoun,postverbal,FCA,Hazırlandın toplantı için sen ve ben.,hazırlan-
H,46,k,experimental,pronoun,postverbal,LCA,Hazırlandım toplantı için sen ve ben.,hazırlan-
I,46,l,experimental,pronoun,postverbal,RA,Hazırlandık toplantı için sen ve ben.,hazırlan-
K,47,a,experimental,proper,preverbal,FCA,Ben ve Nesrin ormanın içinde kayboldum.,kaybol-
L,47,b,experimental,proper,preverbal,LCA,Ben ve Nesrin ormanın içinde kayboldu.,kaybol-
A,47,c,experimental,proper,preverbal,RA,Ben ve Nesrin ormanın içinde kaybolduk.,kaybol-
B,47,d,experimental,pronoun,preverbal,FCA,Ben ve sen ormanın içinde kayboldum.,kaybol-
C,47,e,experimental,pronoun,preverbal,LCA,Ben ve sen ormanın içinde kayboldun.,kaybol-
D,47,f,experimental,pronoun,preverbal,RA,Ben ve sen ormanın içinde kaybolduk.,kaybol-
E,47,g,experimental,proper,postverbal,FCA,Kayboldu ormanın içinde Nesrin ve ben.,kaybol-
F,47,h,experimental,proper,postverbal,LCA,Kayboldum ormanın içinde Nesrin ve ben.,kaybol-
G,47,i,experimental,proper,postverbal,RA,Kaybolduk ormanın içinde Nesrin ve ben.,kaybol-
H,47,j,experimental,pronoun,postverbal,FCA,Kayboldun ormanın içinde sen ve ben.,kaybol-
I,47,k,experimental,pronoun,postverbal,LCA,Kayboldum ormanın içinde sen ve ben.,kaybol-
J,47,l,experimental,pronoun,postverbal,RA,Kaybolduk ormanın içinde sen ve ben.,kaybol-
L,48,a,experimental,proper,preverbal,FCA,Ben ve Kadir gece boyunca çalıştım.,çalış-
A,48,b,experimental,proper,preverbal,LCA,Ben ve Kadir gece boyunca çalıştı.,çalış-
B,48,c,experimental,proper,preverbal,RA,Ben ve Kadir gece boyunca çalıştık.,çalış-
C,48,d,experimental,pronoun,preverbal,FCA,Ben ve sen gece boyunca çalıştım.,çalış-
D,48,e,experimental,pronoun,preverbal,LCA,Ben ve sen gece boyunca çalıştın.,çalış-
E,48,f,experimental,pronoun,preverbal,RA,Ben ve sen gece boyunca çalıştık.,çalış-
F,48,g,experimental,proper,postverbal,FCA,Çalıştı gece boyunca Kadir ve ben.,çalış-
G,48,h,experimental,proper,postverbal,LCA,Çalıştım gece boyunca Kadir ve ben.,çalış-
H,48,i,experimental,proper,postverbal,RA,Çalıştık gece boyunca Kadir ve ben.,çalış-
I,48,j,experimental,pronoun,postverbal,FCA,Çalıştın gece boyunca sen ve ben.,çalış-
J,48,k,experimental,pronoun,postverbal,LCA,Çalıştım gece boyunca sen ve ben.,çalış-
K,48,l,experimental,pronoun,postverbal,RA,Çalıştık gece boyunca sen ve ben.,çalış-